provincia,Poblacion,mes,Num,Total_cap
Guadalajara,257762,1,0,0
Guadalajara,257762,2,7,2.71568345993591e-05
Guadalajara,257762,3,1191,0.00462054142969096
Guadalajara,257762,4,448,0.00173803741435898
Guadalajara,257762,5,95,0.000368557040991302
Guadalajara,257762,6,101,0.000391834327790753
Guadalajara,257762,7,158,0.000612968552385534
Guadalajara,257762,8,1331,0.00516367812167814
Guadalajara,257762,9,2902,0.0112584477153343
Guadalajara,257762,10,2617,0.0101527765923604
Guadalajara,257762,11,1064,0.00412783885910258
Guipuzcoa,723576,1,0,0
Guipuzcoa,723576,2,4,5.52809932888874e-06
Guipuzcoa,723576,3,1574,0.00217530708591772
Guipuzcoa,723576,4,740,0.00102269837584442
Guipuzcoa,723576,5,76,0.000105033887248886
Guipuzcoa,723576,6,102,0.000140966532886663
Guipuzcoa,723576,7,1049,0.00144974404900107
Guipuzcoa,723576,8,3725,0.00514804250002764
Guipuzcoa,723576,9,4859,0.0067152586597676
Guipuzcoa,723576,10,11741,0.0162263535551207
Guipuzcoa,723576,11,9136,0.0126261788671819
Huelva,521870,1,0,0
Huelva,521870,2,1,1.91618602333915e-06
Huelva,521870,3,312,0.000597850039281814
Huelva,521870,4,95,0.000182037672217219
Huelva,521870,5,5,9.58093011669573e-06
Huelva,521870,6,14,2.6826604326748e-05
Huelva,521870,7,47,9.00607430969398e-05
Huelva,521870,8,272,0.000521202598348248
Huelva,521870,9,827,0.00158468584130147
Huelva,521870,10,3667,0.00702665414758465
Huelva,521870,11,3717,0.00712246344875161
Huesca,220461,1,0,0
Huesca,220461,2,5,2.26797483455124e-05
Huesca,220461,3,461,0.00209107279745624
Huesca,220461,4,230,0.00104326842389357
Huesca,220461,5,134,0.000607817255659731
Huesca,220461,6,328,0.00148779149146561
Huesca,220461,7,1276,0.00578787177777475
Huesca,220461,8,1452,0.00658619891953679
Huesca,220461,9,1286,0.00583323127446578
Huesca,220461,10,4641,0.0210513424143046
Huesca,220461,11,2468,0.0111947237833449
Islas Baleares,1149460,1,1,8.69973726793451e-07
Islas Baleares,1149460,2,14,1.21796321751083e-05
Islas Baleares,1149460,3,1528,0.00132931985454039
Islas Baleares,1149460,4,491,0.000427157099855584
Islas Baleares,1149460,5,158,0.000137455848833365
Islas Baleares,1149460,6,122,0.000106136794668801
Islas Baleares,1149460,7,571,0.00049675499799906
Islas Baleares,1149460,8,7418,0.00645346510535382
Islas Baleares,1149460,9,4108,0.0035738520696675
Islas Baleares,1149460,10,4709,0.00409670627947036
Islas Baleares,1149460,11,4219,0.00367041915334157
Jaen,633564,1,0,0
Jaen,633564,2,5,7.89186254269498e-06
Jaen,633564,3,1097,0.00173147464186728
Jaen,633564,4,373,0.000588732945685045
Jaen,633564,5,69,0.000108907703089191
Jaen,633564,6,23,3.63025676963969e-05
Jaen,633564,7,56,8.83888604781837e-05
Jaen,633564,8,941,0.00148524853053519
Jaen,633564,9,2854,0.00450467513937029
Jaen,633564,10,9654,0.0152376081974355
