provincia_iso,provincia,dia,mes,año,num_casos
S,Cantabria,11,09,2020,75
SA,Salamanca,11,09,2020,138
SE,Sevilla,11,09,2020,311
SG,Segovia,11,09,2020,82
SO,Soria,11,09,2020,21
SS,Guipuzcoa,11,09,2020,107
T,Tarragona,11,09,2020,72
TE,Teruel,11,09,2020,45
TF,Santa Cruz de Tenerife,11,09,2020,60
TO,Toledo,11,09,2020,280
V,Valencia,11,09,2020,283
VA,Valladolid,11,09,2020,218
VI,Alava,11,09,2020,38
Z,Zaragoza,11,09,2020,318
ZA,Zamora,11,09,2020,42
A,Alicante,12,09,2020,166
AB,Albacete,12,09,2020,48
AL,Almeria,12,09,2020,71
AV,Avila,12,09,2020,54
B,Barcelona,12,09,2020,554
BA,Badajoz,12,09,2020,135
BI,Bizkaia,12,09,2020,225
BU,Burgos,12,09,2020,108
C,A Coruña,12,09,2020,84
CA,Cadiz,12,09,2020,152
CC,Caceres,12,09,2020,54
CE,Ceuta,12,09,2020,7
CO,Cordoba,12,09,2020,133
CR,Ciudad Real,12,09,2020,170
CS,Castellon,12,09,2020,35
CU,Cuenca,12,09,2020,60
GC,Las Palmas,12,09,2020,160
GI,Girona,12,09,2020,158
GR,Granada,12,09,2020,88
GU,Guadalajara,12,09,2020,110
H,Huelva,12,09,2020,40
HU,Huesca,12,09,2020,35
J,Jaen,12,09,2020,71
L,Lleida,12,09,2020,45
LE,Leon,12,09,2020,93
LO,La Rioja,12,09,2020,139
LU,Lugo,12,09,2020,33
M,Madrid,12,09,2020,3011
MA,Malaga,12,09,2020,208
ME,Melilla,12,09,2020,27
MU,Murcia,12,09,2020,444
,Navarra,12,09,2020,281
O,Asturias,12,09,2020,64
OR,Ourense,12,09,2020,29
P,Palencia,12,09,2020,41
PM,Islas Baleares,12,09,2020,111
PO,Pontevedra,12,09,2020,55
S,Cantabria,12,09,2020,89
SA,Salamanca,12,09,2020,66
SE,Sevilla,12,09,2020,231
SG,Segovia,12,09,2020,34
SO,Soria,12,09,2020,18
SS,Guipuzcoa,12,09,2020,166
T,Tarragona,12,09,2020,63
TE,Teruel,12,09,2020,46
TF,Santa Cruz de Tenerife,12,09,2020,57
TO,Toledo,12,09,2020,299
V,Valencia,12,09,2020,235
VA,Valladolid,12,09,2020,189
VI,Alava,12,09,2020,49
Z,Zaragoza,12,09,2020,296
ZA,Zamora,12,09,2020,33
A,Alicante,13,09,2020,153
AB,Albacete,13,09,2020,47
AL,Almeria,13,09,2020,100
AV,Avila,13,09,2020,30
B,Barcelona,13,09,2020,436
BA,Badajoz,13,09,2020,129
BI,Bizkaia,13,09,2020,237
BU,Burgos,13,09,2020,72
C,A Coruña,13,09,2020,99
CA,Cadiz,13,09,2020,119
CC,Caceres,13,09,2020,47
CE,Ceuta,13,09,2020,5
CO,Cordoba,13,09,2020,62
CR,Ciudad Real,13,09,2020,126
CS,Castellon,13,09,2020,40
CU,Cuenca,13,09,2020,42
GC,Las Palmas,13,09,2020,99
GI,Girona,13,09,2020,72
GR,Granada,13,09,2020,72
GU,Guadalajara,13,09,2020,77
H,Huelva,13,09,2020,22
HU,Huesca,13,09,2020,26
J,Jaen,13,09,2020,78
L,Lleida,13,09,2020,52
LE,Leon,13,09,2020,61
LO,La Rioja,13,09,2020,109
LU,Lugo,13,09,2020,16
M,Madrid,13,09,2020,2354
MA,Malaga,13,09,2020,176
ME,Melilla,13,09,2020,17
MU,Murcia,13,09,2020,375
,Navarra,13,09,2020,321
O,Asturias,13,09,2020,74
OR,Ourense,13,09,2020,40
P,Palencia,13,09,2020,76
PM,Islas Baleares,13,09,2020,121
PO,Pontevedra,13,09,2020,64
S,Cantabria,13,09,2020,133
SA,Salamanca,13,09,2020,120
SE,Sevilla,13,09,2020,205
SG,Segovia,13,09,2020,31
SO,Soria,13,09,2020,23
SS,Guipuzcoa,13,09,2020,199
T,Tarragona,13,09,2020,49
TE,Teruel,13,09,2020,42
TF,Santa Cruz de Tenerife,13,09,2020,49
TO,Toledo,13,09,2020,240
V,Valencia,13,09,2020,196
VA,Valladolid,13,09,2020,122
VI,Alava,13,09,2020,112
Z,Zaragoza,13,09,2020,292
ZA,Zamora,13,09,2020,40
A,Alicante,14,09,2020,250
AB,Albacete,14,09,2020,52
AL,Almeria,14,09,2020,47
AV,Avila,14,09,2020,23
B,Barcelona,14,09,2020,832
BA,Badajoz,14,09,2020,172
BI,Bizkaia,14,09,2020,263
BU,Burgos,14,09,2020,87
C,A Coruña,14,09,2020,88
CA,Cadiz,14,09,2020,92
CC,Caceres,14,09,2020,78
CE,Ceuta,14,09,2020,12
CO,Cordoba,14,09,2020,121
CR,Ciudad Real,14,09,2020,141
CS,Castellon,14,09,2020,50
CU,Cuenca,14,09,2020,47
GC,Las Palmas,14,09,2020,100
GI,Girona,14,09,2020,152
GR,Granada,14,09,2020,116
GU,Guadalajara,14,09,2020,116
H,Huelva,14,09,2020,23
HU,Huesca,14,09,2020,34
J,Jaen,14,09,2020,77
L,Lleida,14,09,2020,54
LE,Leon,14,09,2020,101
LO,La Rioja,14,09,2020,109
LU,Lugo,14,09,2020,27
M,Madrid,14,09,2020,3465
MA,Malaga,14,09,2020,229
ME,Melilla,14,09,2020,21
MU,Murcia,14,09,2020,551
,Navarra,14,09,2020,355
O,Asturias,14,09,2020,90
OR,Ourense,14,09,2020,24
P,Palencia,14,09,2020,61
PM,Islas Baleares,14,09,2020,180
PO,Pontevedra,14,09,2020,92
S,Cantabria,14,09,2020,53
SA,Salamanca,14,09,2020,65
SE,Sevilla,14,09,2020,318
SG,Segovia,14,09,2020,31
SO,Soria,14,09,2020,27
SS,Guipuzcoa,14,09,2020,197
T,Tarragona,14,09,2020,85
TE,Teruel,14,09,2020,51
TF,Santa Cruz de Tenerife,14,09,2020,63
TO,Toledo,14,09,2020,352
V,Valencia,14,09,2020,230
VA,Valladolid,14,09,2020,193
VI,Alava,14,09,2020,91
Z,Zaragoza,14,09,2020,273
ZA,Zamora,14,09,2020,34
A,Alicante,15,09,2020,179
AB,Albacete,15,09,2020,76
AL,Almeria,15,09,2020,94
AV,Avila,15,09,2020,36
B,Barcelona,15,09,2020,991
BA,Badajoz,15,09,2020,132
BI,Bizkaia,15,09,2020,272
BU,Burgos,15,09,2020,119
C,A Coruña,15,09,2020,82
CA,Cadiz,15,09,2020,113
CC,Caceres,15,09,2020,107
CE,Ceuta,15,09,2020,10
CO,Cordoba,15,09,2020,141
CR,Ciudad Real,15,09,2020,188
CS,Castellon,15,09,2020,48
CU,Cuenca,15,09,2020,42
GC,Las Palmas,15,09,2020,103
GI,Girona,15,09,2020,145
GR,Granada,15,09,2020,80
GU,Guadalajara,15,09,2020,112
H,Huelva,15,09,2020,33
HU,Huesca,15,09,2020,56
J,Jaen,15,09,2020,96
L,Lleida,15,09,2020,61
LE,Leon,15,09,2020,102
LO,La Rioja,15,09,2020,149
LU,Lugo,15,09,2020,29
M,Madrid,15,09,2020,4769
MA,Malaga,15,09,2020,197
ME,Melilla,15,09,2020,11
MU,Murcia,15,09,2020,513
,Navarra,15,09,2020,319
O,Asturias,15,09,2020,89
OR,Ourense,15,09,2020,45
P,Palencia,15,09,2020,58
PM,Islas Baleares,15,09,2020,218
PO,Pontevedra,15,09,2020,72
S,Cantabria,15,09,2020,111
SA,Salamanca,15,09,2020,95
SE,Sevilla,15,09,2020,276
SG,Segovia,15,09,2020,39
SO,Soria,15,09,2020,23
SS,Guipuzcoa,15,09,2020,238
T,Tarragona,15,09,2020,100
TE,Teruel,15,09,2020,54
TF,Santa Cruz de Tenerife,15,09,2020,80
TO,Toledo,15,09,2020,354
V,Valencia,15,09,2020,240
VA,Valladolid,15,09,2020,274
VI,Alava,15,09,2020,93
Z,Zaragoza,15,09,2020,260
ZA,Zamora,15,09,2020,60
A,Alicante,16,09,2020,192
AB,Albacete,16,09,2020,90
AL,Almeria,16,09,2020,132
AV,Avila,16,09,2020,45
B,Barcelona,16,09,2020,1004
BA,Badajoz,16,09,2020,165
BI,Bizkaia,16,09,2020,242
BU,Burgos,16,09,2020,117
C,A Coruña,16,09,2020,113
CA,Cadiz,16,09,2020,181
CC,Caceres,16,09,2020,118
CE,Ceuta,16,09,2020,7
CO,Cordoba,16,09,2020,145
CR,Ciudad Real,16,09,2020,185
CS,Castellon,16,09,2020,63
CU,Cuenca,16,09,2020,56
GC,Las Palmas,16,09,2020,90
GI,Girona,16,09,2020,143
GR,Granada,16,09,2020,132
GU,Guadalajara,16,09,2020,112
H,Huelva,16,09,2020,28
HU,Huesca,16,09,2020,31
J,Jaen,16,09,2020,88
L,Lleida,16,09,2020,73
LE,Leon,16,09,2020,117
LO,La Rioja,16,09,2020,138
LU,Lugo,16,09,2020,22
M,Madrid,16,09,2020,4460
MA,Malaga,16,09,2020,205
ME,Melilla,16,09,2020,9
MU,Murcia,16,09,2020,463
,Navarra,16,09,2020,326
O,Asturias,16,09,2020,75
OR,Ourense,16,09,2020,21
P,Palencia,16,09,2020,50
PM,Islas Baleares,16,09,2020,200
PO,Pontevedra,16,09,2020,92
S,Cantabria,16,09,2020,72
SA,Salamanca,16,09,2020,82
SE,Sevilla,16,09,2020,454
SG,Segovia,16,09,2020,52
SO,Soria,16,09,2020,20
SS,Guipuzcoa,16,09,2020,156
T,Tarragona,16,09,2020,104
TE,Teruel,16,09,2020,69
TF,Santa Cruz de Tenerife,16,09,2020,59
TO,Toledo,16,09,2020,355
V,Valencia,16,09,2020,266
VA,Valladolid,16,09,2020,220
VI,Alava,16,09,2020,70
Z,Zaragoza,16,09,2020,253
ZA,Zamora,16,09,2020,48
A,Alicante,17,09,2020,195
AB,Albacete,17,09,2020,52
AL,Almeria,17,09,2020,115
AV,Avila,17,09,2020,16
B,Barcelona,17,09,2020,937
BA,Badajoz,17,09,2020,154
BI,Bizkaia,17,09,2020,184
BU,Burgos,17,09,2020,103
C,A Coruña,17,09,2020,91
CA,Cadiz,17,09,2020,173
CC,Caceres,17,09,2020,118
CE,Ceuta,17,09,2020,10
CO,Cordoba,17,09,2020,128
CR,Ciudad Real,17,09,2020,216
CS,Castellon,17,09,2020,48
CU,Cuenca,17,09,2020,38
GC,Las Palmas,17,09,2020,98
GI,Girona,17,09,2020,78
GR,Granada,17,09,2020,135
GU,Guadalajara,17,09,2020,134
H,Huelva,17,09,2020,22
HU,Huesca,17,09,2020,48
J,Jaen,17,09,2020,115
L,Lleida,17,09,2020,47
LE,Leon,17,09,2020,77
LO,La Rioja,17,09,2020,110
LU,Lugo,17,09,2020,21
M,Madrid,17,09,2020,4475
MA,Malaga,17,09,2020,254
ME,Melilla,17,09,2020,12
MU,Murcia,17,09,2020,446
,Navarra,17,09,2020,298
O,Asturias,17,09,2020,97
OR,Ourense,17,09,2020,44
P,Palencia,17,09,2020,47
PM,Islas Baleares,17,09,2020,173
PO,Pontevedra,17,09,2020,79
S,Cantabria,17,09,2020,64
SA,Salamanca,17,09,2020,126
SE,Sevilla,17,09,2020,295
